Artist,Album,Year,Date Listened,Genre,Tier,Length,Date Bought,Place Bought,City Bought,Cost,New/Used
Mama Cass,Dream a Little Dream of Me,1974,1/3,70s,B,37,12/17/2024,Boo Boo Records,San Luis Obispo,$5,Used
J.J. Johnson Quintet,J.J. In Person!,1958,1/4,Jazz,A,44,,,,,Used
Jackie Gleason,the gentle touch,1961,1/4,Lounge,B,33,12/17/2024,Boo Boo Records,San Luis Obispo,$5.00,Used
Nat King Cole,Wild is Love,1960,1/4,Lounge,B,36,12/20/2024,Record Parlour,LA,$10.00,Used
Rachmaninoff,Yara Bernette – 11 Préludes Aus Op. 32 / 9 Préludes Aus Op. 23,1970,1/4,Classical,B,60,,,,$5,Used
Smokey Hogg,Smokey Hogg Sings the Blues,1961,1/4,Blues,B,45,12/20/2024,The Record Parlor,Los Angeles,$15,Used
The Modern Jazz Quartet,Fontessa,1956,1/4,Jazz,B,37,12/17/2024,Boo Boo Records,San Luis Obispo,$12,Used
Bill Evans,New Conversations,1978,1/5,Jazz,B,46,12/17/2024,Boo Boo Records,San Luis Obispo,$12,Used
Tchaikovsky,Maazel - Vienna Philharmonic: Symphony no 6,1965,1/5,Classical,A,45,12/17/2024,Boo Boo Records,San Luis Obispo,$3,Used
Jack Johnson,On and On,2003,1/7,2000s,A,44,12/17/2024,Boo Boo Records,San Luis Obispo,$28,New
Taj Mahal,Recycling The Blues & Other Stuff,1972,1/7,Blues,C,41,,,,$15.00,Used
Wham!,Make it Big,1984,1/7,80s,A,38,12/20/2024,Record Parlour,LA,$15,Used
Belaire Voices with Strings Unlimited,S Wonderful,1969,1/8,Lounge,B,30,,,,$8.00,Used
Gontiti,Sunday Market,1986,1/8,World,B,43,5/3/2024,Flash Disc Ranch,Tokyo,$17.75,Used
Marian McPartland,at Storyville / at the Hickory House,1955,1/8,Jazz,A,35,12/17/2024,Boo Boo Records,San Luis Obispo,$20.00,Used
Sadao Watanabe,I'm Old Fashioned,1976,1/8,Jazz,A,44,5/3/2024,Flash Disc Ranch,Tokyo,$6.33,Used
Sarah Vaughan,at the Blue Note,1956,1/8,Lounge,A,35,12/17/2024,Boo Boo Records,San Luis Obispo,$10.00,Used
Steve Martin,"""Let's Get Small""",1977,1/8,Comedy (Soundtrack),A,38,12/17/2024,Boo Boo Records,San Luis Obispo,$5.00,Used
The Square,R.E.S.O.R.T.,1985,1/8,Jazz,B,40,5/3/2024,Flash Disc Ranch,Tokyo,$9.50,Used
Widespread Panic,Space Wrangler,1988,1/8,80s,B,64,,,,,New
Della Reese,Della,1960,1/9,Lounge,B,30,12/17/2024,Boo Boo Records,San Luis Obispo,$10.00,Used
Eminem,The Marshall Mathers LP,2000,1/9,Hip-Hop / R&B,C,72,,From James,,,New
M83,Junk,2016,1/9,Electronic (Alt),B,56,,,,,New
Maureen Tomson,The Thrill is Gone,1965,1/10,Lounge,A,38,12/20/2024,Record Parlour,LA,$19.99,Used
Willie Hutch,Season for Love,1970,1/10,Soul,A,26,2/23/2024,Passenger Seat Records,Portland,$33.00,New
Miley Cyrus,Endless Summer Vacation,2023,1/11,2020s,B,46,,Music Millenium,Portland,,New
Southern All Stars,Kamakura,1985,1/11,80s,A,87,5/3/2024,Flash Disc Ranch,Tokyo,$10.00,Used
Cecile Devile,The Girl from Paris,1959,1/12,Lounge,A,34,12/20/2024,Record Parlour,LA,$15.98,Used
Diana Ross,Ross,1978,1/12,Soul,B,39,12/20/2024,Record Parlour,LA,$7.98,Used
Lurlean Hunter,Night Life,1957,1/12,Lounge,A,35,12/20/2024,Record Parlour,LA,$15.98,Used
The Mariachi Brass! Featuring Chet Baker,Double-Shot,1966,1/12,Lounge,B,30,,,LA,,Used
Widespread Panic,Everyday,1993,1/12,90s,A,60,,Music Millenium,Portland,,New
Carpenters,Ticket To Ride,1970,1/13,70s,C,37,,Jackpot,Portland,$10.00,Used
Hino=Kikuchi Quintet,Hino=Kikuchi Quintet,1969,1/13,Jazz,A,32,5/3/2024,Flash Disc Ranch,Tokyo,$17.78,Used
Masaki Ueda,After Midnight,1982,1/13,80s,S,42,5/3/2024,Flash Disc Ranch,Tokyo,$9.51,Used
John Prine,John Prine,1971,1/14,Folk/Country,S,44,,Gluvna,,$0,Used
Michael Hurley,Hi Fi Snock Uptown,1971,1/14,Folk/Country,B,42,,Missisippi Records,Portland,$12,New
Stan Getz,Sweet Rain,1967,1/14,Jazz,A,37,,,Portland,,Used
John Coltrane Quartet,Ballads,1963,1/15,Jazz,A,32,,,Portland,$20,Used
Merle Haggard,Big City,1981,1/15,Folk/Country,B,29,,,,,Used
Florence + The Machine,Ceremonials,2011,1/16,2010s,S,72,,,Austin,$27,New
Taylor Swift,reputation,2017,1/16,2010s,B,56,,,,,
Vince Guaraldi & Bota Sete,Live at El Matador,1966,1/16,Jazz,A,38,,,Portland,$18,Used
Big Smoke,Time is Golden,2016,1/17,2010s,B,47,9/22/2016,VMP,Online,$23.00,New
